Fabricante,Ano,Modelo,Tipo,Raridade,Pais,Valor
RJ Anderson,2021,#37 Polaris RZR Pro 4 Truck,Unlimited Offroad,Epic,US,500000
Rossion,2010,Q1,Modern Supercars,Epic,US,250000
Saleen,2004,S7,Retro Supercars,Epic,US,388000
Saleen,2017,S7 LM,Extreme Track Toys,Epic,US,1000000
Saleen,2018,S1,Modern Supercars,Epic,US,200000
Saleen,2020,Sportruck XR Black Label,Pickups & 4x4s,Epic,US,150000
Schuppan,1993,962CR,Retro Supercars,Common,GB,2500000
Shelby,1965,Cobra 427 S/C,Rare Classics,Legendary,US,2100000
Shelby,1965,Cobra Daytona Coupe,Classic Racers,Legendary,US,30000000
Shelby,1967,GT 500,Classic Muscle,Epic,US,250000
SIERRA Cars,2020,#23 Yokohama ALPHA,Extreme Track Toys,Epic,US,70000
SIERRA Cars,2021,700R,UTVs,Rare,US,250000
SIERRA Cars,2021,RX3,UTVs,Rare,US,45000
Spania GTA,2016,GTA Spano,Modern Supercars,Epic,ES,800000
SUBARU,1980,BRAT GL,Vans & Utility,Common,JP,250000
SUBARU,1990,LEGACY RS,Retro Rally,Common,JP,250000
SUBARU,1998,Impreza 22B-STi Version,Retro Rally,Legendary,JP,110000
SUBARU,2004,Impreza WRX STi,Modern Rally,Common,JP,28000
SUBARU,2005,Impreza WRX STi,Modern Rally,Common,JP,51000
SUBARU,2005,Legacy Traffic,-,-,JP,-
SUBARU,2008,Impreza WRX STI,Modern Rally,Rare,JP,31000
SUBARU,2011,WRX STI,Modern Rally,Rare,JP,33000
SUBARU,2013,BRZ,Modern Sports Cars,Common,JP,32000
SUBARU,2015,WRX STI,Modern Rally,Common,JP,42000
SUBARU,2018,WRX STI ARX Supercar,Rally Monsters,Common,JP,500000
SUBARU,2019,STI S209,Modern Rally,Common,JP,70000
SUBARU,2022,BRZ,Modern Sports Cars,Epic,JP,250000
Toyota,1965,Sports 800,Classic Sports Cars,Rare,JP,250000
Toyota,1969,2000GT,Rare Classics,Epic,JP,750000
Toyota,1974,Celica GT,Classic Sports Cars,Rare,JP,20000
Toyota,1979,FJ40,Pickups & 4x4s,Common,JP,55000
Toyota,1985,Sprinter Trueno GT Apex,Retro Sports Cars,Epic,JP,20000
Toyota,1989,MR2 SC,Retro Sports Cars,Rare,JP,20000
Toyota,1992,Celica GT-Four RC ST185,Retro Rally,Rare,JP,25000
Toyota,1992,Supra 2.0 GT,Retro Sports Cars,Rare,JP,20000
Toyota,1993,#1 T100 Baja Truck,Unlimited Offroad,Legendary,JP,500000
Toyota,1994,Celica GT-Four ST205,Retro Rally,Epic,JP,20000
Toyota,1995,MR2 GT,Retro Sports Cars,Rare,JP,250000
Toyota,1998,Supra RZ,Retro Sports Cars,Rare,JP,38000
Toyota,1998,"Supra RZ ""Welcome Pack""",Retro Sports Cars,Common,JP,38000
Toyota,2003,Celica SS-I,Retro Sports Cars,Rare,JP,250000
Toyota,2007,Hilux Arctic Trucks AT38,Pickups & 4x4s,Rare,JP,250000
Toyota,2013,86,Modern Sports Cars,Rare,JP,28800
Toyota,2016,Land Cruiser Arctic Trucks AT37,Pickups & 4x4s,Rare,JP,250000
Toyota,2019,4Runner TRD Pro,Pickups & 4x4s,Rare,JP,250000
Toyota,2019,Tacoma TRD Pro,Pickups & 4x4s,Rare,JP,50000
Toyota,2020,GR Supra,Modern Sports Cars,Rare,JP,55000
Toyota,2020,Tundra TRD Pro,Pickups & 4x4s,Rare,JP,60000
Toyota,2022,GR86,Modern Sports Cars,Epic,JP,250000
TVR,1998,Cerbera Speed 12,Retro Supercars,Epic,GB,500000
TVR,2005,Sagaris,Retro Sports Cars,Rare,GB,86000
TVR,2018,Griffith,Modern Sports Cars,Rare,GB,105000
Ultima,2015,Evolution Coupe 1020,Extreme Track Toys,Epic,GB,300000
Vauxhall,1990,Lotus Carlton,Retro Saloons,Rare,GB,250000
Vauxhall,2005,Monaro VXR,Modern Muscle,Common,GB,25000
Vauxhall,2016,Corsa VXR,Hot Hatch,Common,GB,28000
Volkswagen,1963,Beetle Forza Edition,Track Toys,Forza Edition,DE,500000
Volkswagen,1963,Beetle,Cult Classics,Legendary,DE,20000
Volkswagen,1963,Type 2 De Luxe,Cult Classics,Rare,DE,40000
Volkswagen,1963,Beetle,-,-,DE,-
Volkswagen,1963,Beetle,-,-,DE,-
Volkswagen,1963,Beetle Traffic Taxi,-,-,DE,-
Volkswagen,1966,Double Cab Pick-Up,Vans & Utility,Rare,DE,250000
Volkswagen,1969,Class 5/1600 Baja Bug,Buggies,Rare,DE,60000
Volkswagen,1970,#1107 Deser Dingo Racing Stock Bug,Buggies,Rare,DE,25000
Volkswagen,1981,Scirocco S,Retro Hot Hatch,Common,DE,20000
Volkswagen,1982,Pickup LX,Vans & Utility,Epic,DE,20000
Volkswagen,1983,Golf GTI,Retro Hot Hatch,Common,DE,20000
Volkswagen,1992,Golf Gti 16v Mk2,Retro Hot Hatch,Common,DE,20000
Volkswagen,1995,Corrado VR6,Retro Hot Hatch,Common,DE,20000
Volkswagen,1998,GTI VR6 Mk3,Retro Hot Hatch,Common,DE,25000
Volkswagen,1998,GTI Traffic,-,-,DE,-
Volkswagen,2003,Golf R32,Hot Hatch,Rare,DE,20000
Volkswagen,2003,Bora Traffic,-,-,DE,-
Volkswagen,2010,Golf R,Super Hot Hatch,Rare,DE,64000
Volkswagen,2011,Scirocco R,Hot Hatch,Rare,DE,45000
Volkswagen,2012,Santana,Retro Saloons,Rare,DE,20000
Volkswagen,2014,Golf R,Super Hot Hatch,Common,DE,50000
Volkswagen,2017,#34 Andretti Beetle,Rally Monsters,Epic,DE,500000
Volkswagen,2021,ID.4,Hot Hatch,Rare,DE,250000
Volkswagen,2021,Golf R,Super Hot Hatch,Common,DE,65000
Volkswagen,2022,Golf R,Super Hot Hatch,Rare,DE,50000
Volvo,1983,242 Turbo Evolution,Classic Rally,Common,SE,45000
Volvo,1997,850 R,Retro Saloons,Common,SE,25000
Volvo,2015,V60 Polestar,Super Saloons,Common,SE,62000
VUHL,2017,05RR,Track Toys,Epic,MX,100000
W Motors,2016,Lykan HyperSport,Hypercars,Legendary,AE,3000000
Willys,1945,MB Jeep,Pickups & 4x4s,Common,US,40000
Wuling,2013,Sunshine S,Vans & Utility,Rare,CN,250000
Wuling,2022,Hongguang Mini EV Macaron,Hot Hatch,Rare,CN,25000
Xpeng,2020,P7,Super Saloons,Rare,CN,250000
Zenvo,2016,ST1,Hypercars,Legendary,DK,1000000
Zenvo,2019,TSR-S,Hypercars,Legendary,DK,1200000
